naxos movie title,movie title,imdb movie title,year,genre
Brokedown Palace (1999),Brokedown Palace,Brokedown Palace,1999,"Drama,Mystery,Thriller"
Chicken Run (2000),Chicken Run,Chicken Run,2000,"Adventure,Animation,Comedy"
Deep Impact (1998),Deep Impact,Deep Impact,1998,"Action,Drama,Sci-Fi"
Eyes Wide Shut (1999),Eyes Wide Shut,Eyes Wide Shut,1999,"Drama,Mystery,Thriller"
Gloria (1999),Gloria,Gloria,1999,"Crime,Drama,Thriller"
Stepmom (1998),Stepmom,Stepmom,1998,"Comedy,Drama"
Hi-Lo Country (The) (1998),Hi-Lo Country,The Hi-Lo Country,1998,"Drama,Romance,Western"
Holy Man (1998),Holy Man,Holy Man,1998,"Comedy,Drama"
Jakob the Liar (1999),Jakob the Liar,Jakob the Liar,1999,"Drama,War"
Legend of 1900 (The) (1998),Legend of 1900,The Legend of 1900,1998,"Drama,Music,Romance"
My Favorite Martian (1999),My Favorite Martian,My Favorite Martian,1999,"Comedy,Family,Sci-Fi"
Pushing Tin (1999),Pushing Tin,Pushing Tin,1999,"Comedy,Drama,Romance"
Snow Falling on Cedars (1999),Snow Falling on Cedars,Snow Falling on Cedars,1999,"Drama,Mystery,Romance"
Sour Grapes (1998),Sour Grapes,Sour Grapes,1998,Comedy
Star Trek: Insurrection (1998),Star Trek: Insurrection,Star Trek: Insurrection,1998,"Action,Adventure,Sci-Fi"
Tea with Mussolini (1999),Tea with Mussolini,Tea with Mussolini,1999,"Comedy,Drama,War"
Thin Red Line (The) (1998),Thin Red Line,The Thin Red Line,1998,"Drama,History,War"
Velvet Goldmine (1998),Velvet Goldmine,Velvet Goldmine,1998,"Drama,Music"
What Dreams May Come (1998),What Dreams May Come,What Dreams May Come,1998,"Drama,Fantasy,Romance"
My Life So Far (1999),My Life So Far,My Life So Far,1999,"Biography,Comedy,Drama"
Return to Me (2000),Return to Me,Return to Me,2000,"Comedy,Drama,Romance"
Ronin (1998),Ronin,Ronin,1998,"Action,Crime,Thriller"
Analyze This (1999),Analyze This,Analyze This,1999,"Comedy,Crime"
Other Sister (The) (1999),Other Sister,The Other Sister,1999,"Comedy,Drama,Romance"
Two Girls and a Guy (1997),Two Girls and a Guy,Two Girls and a Guy,1997,"Comedy,Drama"
Cider House Rules (The) (1999),Cider House Rules,The Cider House Rules,1999,"Drama,Romance"
He Got Game (1998),He Got Game,He Got Game,1998,"Drama,Sport"
Heartbreakers (2001),Heartbreakers,Heartbreakers,2001,"Comedy,Crime,Romance"
Man on the Moon (1999),Man on the Moon,Man on the Moon,1999,"Biography,Comedy,Drama"
Legionnaire (1998),Legionnaire,Legionnaire,1998,"Action,Adventure,Drama"
Loss of Sexual Innocence (The) (1999),Loss of Sexual Innocence,The Loss of Sexual Innocence,1999,Drama
Elizabeth (1998),Elizabeth,Elizabeth,1998,"Biography,Drama,History"
Patch Adams (1998),Patch Adams,Patch Adams,1998,"Biography,Comedy,Drama"
There's Something About Mary (1998),There's Something About Mary,There's Something About Mary,1998,"Comedy,Romance"
Charades (Felons) (1998),Charades,Charades,1998,"Drama,Mystery"
Run Lola Run (Lola rennt) (1998),Run Lola Run,Run Lola Run,1998,"Crime,Drama,Thriller"
Bowfinger (1999),Bowfinger,Bowfinger,1999,Comedy
Mystery Men (1999),Mystery Men,Mystery Men,1999,"Action,Comedy,Fantasy"
At First Sight (1999),At First Sight,At First Sight,1999,"Drama,Romance"
Teaching Mrs. Tingle (1999),Teaching Mrs. Tingle,Teaching Mrs. Tingle,1999,"Comedy,Thriller"
SLC Punk! (1998),SLC Punk!,SLC Punk!,1998,"Comedy,Drama,Music"
Faculty (The) (1998),Faculty,The Faculty,1998,"Horror,Mystery,Sci-Fi"
Too Smooth (1998),Too Smooth,Too Smooth,1998,"Comedy,Romance"
Rugrats Movie (The) (1998),Rugrats Movie,The Rugrats Movie,1998,"Adventure,Animation,Comedy"
Entrapment (1999),Entrapment,Entrapment,1999,"Action,Crime,Romance"
Fight Club (1999),Fight Club,Fight Club,1999,Drama
Bone Daddy (1998),Bone Daddy,Bone Daddy,1998,"Crime,Horror,Thriller"
Cruel Intentions (1999),Cruel Intentions,Cruel Intentions,1999,"Drama,Romance"
Go (1999),Go,Go,1999,"Comedy,Crime"
Suspicious Minds (1997),Suspicious Minds,Suspicious Minds,1997,Thriller
Contact (1997),Contact,The Contact,1997,Romance
Forces of Nature (1999),Forces of Nature,Forces of Nature,1999,"Comedy,Romance"
Inspector Gadget (1999),Inspector Gadget,Inspector Gadget,1999,"Action,Adventure,Comedy"
Isn't She Great (2000),Isn't She Great,Isn't She Great,2000,"Biography,Comedy,Drama"
U-571 (2000),U-571,U-571,2000,"Action,War"
Crazy in Alabama (1999),Crazy in Alabama,Crazy in Alabama,1999,"Comedy,Crime,Drama"
Polish Bride (The) (1998),Polish Bride,The Polish Bride,1998,"Drama,Romance"
Scratch (2001),Scratch,Scratch,2001,"Documentary,Music"
General's Daughter (The) (1999),General's Daughter,The General's Daughter,1999,"Crime,Drama,Mystery"
Lost Son (The) (1999),Lost Son,The Lost Son,1999,"Crime,Drama,Romance"
Nutty Professor II: The Klumps (2000),Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,2000,"Comedy,Romance,Sci-Fi"
Sunshine (1999),Sunshine,Sunshine,1999,"Drama,History,Romance"
Stigmata (1999),Stigmata,Stigmata,1999,Horror
Thirteen Days (2000),Thirteen Days,Thirteen Days,2000,"Drama,History,Thriller"
Lara Croft: Tomb Raider (2001),Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,2001,"Action,Adventure,Fantasy"
Any Given Sunday (1999),Any Given Sunday,Any Given Sunday,1999,"Drama,Sport"
Legend of Bagger Vance (The) (2000),Legend of Bagger Vance,The Legend of Bagger Vance,2000,"Drama,Fantasy,Sport"
Anywhere But Here (1999),Anywhere But Here,Anywhere But Here,1999,"Comedy,Drama"
Black and White (1999),Black and White,Black and White,1999,"Action,Mystery,Thriller"
In All Innocence (1998),In All Innocence,In All Innocence,1998,"Crime,Drama,Romance"
Hilary and Jackie (1998),Hilary and Jackie,Hilary and Jackie,1998,"Biography,Drama,Music"
Topsy-Turvy (1999),Topsy-Turvy,Topsy-Turvy,1999,"Biography,Comedy,Drama"
Up at the Villa (2000),Up at the Villa,Up at the Villa,2000,"Drama,Romance"
Thomas Crown Affair (The) (1999),Thomas Crown Affair,The Thomas Crown Affair,1999,"Crime,Romance,Thriller"
Kiss Toledo Goodbye (1999),Kiss Toledo Goodbye,Kiss Toledo Goodbye,1999,"Comedy,Thriller"
Suburbans (The) (1999),Suburbans,The Suburbans,1999,"Comedy,Drama"
Drop Dead Gorgeous (1999),Drop Dead Gorgeous,Drop Dead Gorgeous,1999,"Comedy,Romance,Thriller"
Enigma (2001),Enigma,Enigma,2001,"Drama,Mystery,Romance"
Sweet and Lowdown (1999),Sweet and Lowdown,Sweet and Lowdown,1999,"Comedy,Drama,Music"
Flintstones in Viva Rock Vegas (The) (2000),Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,2000,"Comedy,Family,Romance"
Art of War (The) (2000),Art of War,The Art of War,2000,"Action,Adventure,Crime"
Dudley Do-Right (1999),Dudley Do-Right,Dudley Do-Right,1999,"Comedy,Family,Romance"
Story of Us (The) (1999),Story of Us,The Story of Us,1999,"Comedy,Drama,Romance"
What Lies Beneath (2000),What Lies Beneath,What Lies Beneath,2000,"Drama,Horror,Mystery"
Trick (1999),Trick,Trick,1999,"Comedy,Music,Romance"
Runaway Bride (1999),Runaway Bride,Runaway Bride,1999,"Comedy,Romance"
Sum of All Fears (The) (2002),Sum of All Fears,The Sum of All Fears,2002,"Action,Drama,Thriller"
Virtual Sexuality (1999),Virtual Sexuality,Virtual Sexuality,1999,"Comedy,Drama,Romance"
Detroit Rock City (1999),Detroit Rock City,Detroit Rock City,1999,"Comedy,Music"
Love Letter (The) (1999),Love Letter,The Love Letter,1999,"Comedy,Drama,Romance"
Music of the Heart (1999),Music of the Heart,Music of the Heart,1999,"Drama,Music"
I Dreamed of Africa (2000),I Dreamed of Africa,I Dreamed of Africa,2000,"Adventure,Biography,Drama"
Sixth Sense (The) (1999),Sixth Sense,The Sixth Sense,1999,"Drama,Mystery,Thriller"
L'ennui (1998),L'ennui,L'ennui,1998,"Drama,Romance"
End of the Affair (The) (1999),End of the Affair,The End of the Affair,1999,"Drama,Romance"
"Girl, Interrupted (1999)","Girl, Interrupted","Girl, Interrupted",1999,"Biography,Drama"
Simpatico (1999),Simpatico,Simpatico,1999,"Comedy,Crime,Drama"
Magnolia (1999),Magnolia,Magnolia,1999,Drama
All the Wrong Places (2000),All the Wrong Places,All the Wrong Places,2000,"Comedy,Romance"
Quills (2000),Quills,Quills,2000,"Biography,Drama"
What Planet Are You From? (2000),What Planet Are You From?,What Planet Are You From?,2000,"Comedy,Sci-Fi"
Finding Forrester (2000),Finding Forrester,Finding Forrester,2000,Drama
Minority Report (2002),Minority Report,Minority Report,2002,"Action,Crime,Mystery"
Traffic (2000),Traffic,Traffic,2000,"Crime,Drama,Thriller"
Caveman's Valentine (The) (2001),Caveman's Valentine,The Caveman's Valentine,2001,"Crime,Drama,Music"
Bicentennial Man (1999),Bicentennial Man,Bicentennial Man,1999,"Comedy,Drama,Sci-Fi"
"Me, Myself & Irene (2000)","Me, Myself & Irene","Me, Myself & Irene",2000,Comedy
Guilty (The) (2000),Guilty,The Guilty,2000,"Crime,Drama,Thriller"
Patriot (The) (2000),Patriot,The Patriot,2000,"Action,Drama,History"
Anatomy (2000),Anatomy,Anatomy,2000,"Horror,Thriller"
Shadow of the Vampire (2000),Shadow of the Vampire,Shadow of the Vampire,2000,"Drama,Horror"
Whole Nine Yards (The) (2000),Whole Nine Yards,The Whole Nine Yards,2000,"Comedy,Crime"
Fighting Temptations (The) (2003),Fighting Temptations,The Fighting Temptations,2003,"Comedy,Drama,Music"
Honest (2000),Honest,Honest,2000,"Comedy,Crime,Romance"
Julien Donkey-Boy (1999),Julien Donkey-Boy,Julien Donkey-Boy,1999,"Comedy,Drama"
Urban Legends: Final Cut (2000),Urban Legends: Final Cut,Urban Legends: Final Cut,2000,"Horror,Mystery"
Stardom (2000),Stardom,Stardom,2000,"Comedy,Drama"
Zoolander (2001),Zoolander,Zoolander,2001,Comedy
Crew (The) (2000),Crew,The Crew,2000,"Comedy,Crime"
New Adventures of Pinocchio (The) (1999),New Adventures of Pinocchio,The New Adventures of Pinocchio,1999,"Adventure,Family,Fantasy"
Lover's Prayer (All Forgotten) (2001),Lover's Prayer,Lover's Prayer,2001,"Drama,Romance,War"
Bats (1999),Bats,Bats,1999,"Horror,Sci-Fi,Thriller"
House of Mirth (The) (2000),House of Mirth,The House of Mirth,2000,"Drama,Romance"
House! (2000),House!,House!,2000,"Comedy,Romance"
Way of the Gun (The) (2000),Way of the Gun,The Way of the Gun,2000,"Action,Crime,Drama"
Moulin Rouge! (2001),Moulin Rouge!,Moulin Rouge!,2001,"Drama,Musical,Romance"
Men of Honor (2000),Men of Honor,Men of Honor,2000,"Biography,Drama"
You Can Count on Me (2000),You Can Count on Me,You Can Count on Me,2000,Drama
Greenfingers (2000),Greenfingers,Greenfingers,2000,"Comedy,Crime,Drama"
Bring It On (2000),Bring It On,Bring It On,2000,"Comedy,Romance,Sport"
Films That Suck (1999),Films That Suck,Films That Suck,1999,Comedy
Dish (The) (2000),Dish,The Dish,2000,"Comedy,Drama,History"
Man Who Cried (The) (2000),Man Who Cried,The Man Who Cried,2000,"Drama,Music,Romance"
What Women Want (2000),What Women Want,What Women Want,2000,"Comedy,Fantasy,Romance"
Villa des roses (2002),Villa des roses,Villa des roses,2002,"Drama,Romance,War"
Wedding Planner (The) (2001),Wedding Planner,The Wedding Planner,2001,"Comedy,Romance"
Girlfight (2000),Girlfight,Girlfight,2000,"Drama,Sport"
Center Stage (2000),Center Stage,Center Stage,2000,"Drama,Music,Romance"
Meet the Parents (2000),Meet the Parents,Meet the Parents,2000,"Comedy,Romance"
Miss Congeniality (2000),Miss Congeniality,Miss Congeniality,2000,"Action,Comedy,Crime"
Bride of the Wind (2001),Bride of the Wind,Bride of the Wind,2001,"Biography,Drama,Music"
Hannibal (2001),Hannibal,Hannibal,2001,"Crime,Drama,Thriller"
Amati Girls (The) (2000),Amati Girls,The Amati Girls,2000,Drama
Ladies Man (The) (2000),Ladies Man,The Ladies Man,2000,Comedy
Wog Boy (The) (2000),Wog Boy,The Wog Boy,2000,Comedy
Taste of Others (The) (2000),Taste of Others,The Taste of Others,2000,"Comedy,Drama,Romance"
Looking for Alibrandi (2000),Looking for Alibrandi,Looking for Alibrandi,2000,"Comedy,Drama,Romance"
Ready to Rumble (2000),Ready to Rumble,Ready to Rumble,2000,"Comedy,Sport"
Unbreakable (2000),Unbreakable,Unbreakable,2000,"Drama,Mystery,Sci-Fi"
Original Sin (2001),Original Sin,Original Sin,2001,"Drama,Mystery,Romance"
Family Man (The) (2000),Family Man,The Family Man,2000,"Comedy,Drama,Fantasy"
Human Resources (1999),Human Resources,Human Resources,1999,"Comedy,Drama"
One More Kiss (1999),One More Kiss,One More Kiss,1999,"Drama,Romance"
Others (The) (2001),Others,The Others,2001,"Horror,Mystery,Thriller"
Divided We Fall (2000),Divided We Fall,Divided We Fall,2000,"Comedy,Drama,War"
Novocaine (2001),Novocaine,Novocaine,2001,"Comedy,Crime,Drama"
Captain Corelli's Mandolin (2001),Captain Corelli's Mandolin,Captain Corelli's Mandolin,2001,"Drama,Music,Romance"
Attraction (2000),Attraction,Attraction,2000,"Drama,Romance,Thriller"
Breathtaking (2000),Breathtaking,Breathtaking,2000,Thriller
Girls Can't Swim (2000),Girls Can't Swim,Girls Can't Swim,2000,"Comedy,Drama"
Saving Silverman (Evil Woman) (2001),Saving Silverman,Saving Silverman,2001,"Comedy,Crime,Romance"
Say It Isn't So (2001),Say It Isn't So,Say It Isn't So,2001,"Comedy,Romance"
Freddy Got Fingered (2001),Freddy Got Fingered,Freddy Got Fingered,2001,Comedy
Ocean's Eleven (2001),Ocean's Eleven,Ocean's Eleven,2001,"Crime,Thriller"
Serendipity (2001),Serendipity,Serendipity,2001,"Comedy,Romance"
Slackers (2002),Slackers,Slackers,2002,"Comedy,Romance"
Chocolat (2000),Chocolat,Chocolat,2000,"Drama,Romance"
New Guy (The) (2002),New Guy,The New Guy,2002,Comedy
Affair of the Necklace (The) (2001),Affair of the Necklace,The Affair of the Necklace,2001,"Drama,History,Romance"
"Dude, Where's My Car? (2000)","Dude, Where's My Car?","Dude, Where's My Car?",2000,"Comedy,Mystery,Sci-Fi"
Harvard Man (2001),Harvard Man,Harvard Man,2001,"Comedy,Crime,Drama"
Waking Life (2001),Waking Life,Waking Life,2001,"Animation,Drama,Fantasy"
Man Who Wasn't There (The) (2001),Man Who Wasn't There,The Man Who Wasn't There,2001,"Crime,Drama"
Bridget Jones's Diary (2001),Bridget Jones's Diary,Bridget Jones's Diary,2001,"Comedy,Drama,Romance"
Italian for Beginners (Italiensk for begyndere) (2000),Italian for Beginners,Italian for Beginners,2000,"Comedy,Drama,Romance"
Someone Like You (2001),Someone Like You,Someone Like You,2001,"Comedy,Romance"
Invincible (2001),Invincible,Invincible,2001,"Drama,War"
Crush (2001),Crush,Crush,2001,"Comedy,Drama,Romance"
Purely Belter (2000),Purely Belter,Purely Belter,2000,"Comedy,Drama"
Tomcats (2001),Tomcats,Tomcats,2001,Comedy
Billy Elliot (2000),Billy Elliot,Billy Elliot,2000,"Drama,Music"
Domestic Disturbance (2001),Domestic Disturbance,Domestic Disturbance,2001,"Crime,Thriller"
Price of Milk (The) (2000),Price of Milk,The Price of Milk,2000,"Comedy,Drama,Fantasy"
Experiment (The) (Das Experiment) (2001),Experiment,The Experiment,2001,"Drama,Thriller"
Deep End (The) (2001),Deep End,The Deep End,2001,"Crime,Drama,Mystery"
Rat Race (2001),Rat Race,Rat Race,2001,"Action,Adventure,Comedy"
Hart's War (2002),Hart's War,Hart's War,2002,"Drama,War"
Maid in Manhattan (2002),Maid in Manhattan,Maid in Manhattan,2002,"Comedy,Drama,Romance"
Hearts in Atlantis (2001),Hearts in Atlantis,Hearts in Atlantis,2001,"Drama,Mystery"
Pianist (The) (2002),Pianist,The Pianist,2002,"Biography,Drama,Music"
Star Trek: Nemesis (2002),Star Trek: Nemesis,Star Trek: Nemesis,2002,"Action,Adventure,Sci-Fi"
Anniversary Party (2001),Anniversary Party,The Anniversary Party,2001,"Comedy,Drama,Romance"
Curse of the Jade Scorpion (2001),Curse of the Jade Scorpion,The Curse of the Jade Scorpion,2001,"Comedy,Crime,Mystery"
About Schmidt (2002),About Schmidt,About Schmidt,2002,"Comedy,Drama"
High Crimes (2002),High Crimes,High Crimes,2002,"Crime,Drama,Mystery"
Monkey's Mask (The) (2000),Monkey's Mask,The Monkey's Mask,2000,"Crime,Mystery,Thriller"
My Big Fat Greek Wedding (2002),My Big Fat Greek Wedding,My Big Fat Greek Wedding,2002,"Comedy,Drama,Romance"
Uptown Girls (2003),Uptown Girls,Uptown Girls,2003,"Comedy,Drama,Romance"
Basic (2003),Basic,Basic,2003,"Action,Crime,Drama"
Catch Me If You Can (2002),Catch Me If You Can,Catch Me If You Can,2002,"Biography,Crime,Drama"
Changing Lanes (2002),Changing Lanes,Changing Lanes,2002,"Drama,Thriller"
Kissing Jessica Stein (2001),Kissing Jessica Stein,Kissing Jessica Stein,2001,"Comedy,Drama,Romance"
Murder by Numbers (2002),Murder by Numbers,Murder by Numbers,2002,"Crime,Mystery,Thriller"
Royal Tenenbaums (The) (2001),Royal Tenenbaums,The Royal Tenenbaums,2001,"Comedy,Drama"
Duplex (2003),Duplex,Duplex,2003,Comedy
Kill Bill: Vol. 1 (2003),Kill Bill: Vol. 1,Kill Bill: Vol. 1,2003,"Action,Crime,Drama"
Spy Game (2001),Spy Game,Spy Game,2001,"Action,Crime,Thriller"
K-19: The Widowmaker (2002),K-19: The Widowmaker,K-19: The Widowmaker,2002,"Drama,History,Thriller"
Ice Age (2002),Ice Age,Ice Age,2002,"Adventure,Animation,Comedy"
Majestic (The) (2001),Majestic,The Majestic,2001,"Drama,Romance"
City by the Sea (2002),City by the Sea,City by the Sea,2002,"Crime,Drama,Mystery"
Alias Betty (Betty Fisher and other stories) (2001),Alias Betty,Alias Betty,2001,"Comedy,Crime,Drama"
Confessions of a Dangerous Mind (2002),Confessions of a Dangerous Mind,Confessions of a Dangerous Mind,2002,"Biography,Comedy,Crime"
Last Castle (The) (2001),Last Castle,The Last Castle,2001,"Action,Drama,Thriller"
Jump Tomorrow (2001),Jump Tomorrow,Jump Tomorrow,2001,"Comedy,Drama,Romance"
My Kingdom (2001),My Kingdom,My Kingdom,2001,"Crime,Drama"
Johnny English (2003),Johnny English,Johnny English,2003,"Action,Adventure,Comedy"
Hours (The) (2002),Hours,The Hours,2002,"Drama,Romance"
About a Boy (2002),About a Boy,About a Boy,2002,"Comedy,Drama,Romance"
Chop Suey (2001),Chop Suey,Chop Suey,2001,"Biography,Documentary"
I Am Sam (2001),I Am Sam,I Am Sam,2001,Drama
All About the Benjamins (2002),All About the Benjamins,All About the Benjamins,2002,"Action,Comedy,Crime"
Hotel (2001),Hotel,Hotel,2001,Comedy
Importance of Being Earnest (The) (2002),Importance of Being Earnest,The Importance of Being Earnest,2002,"Comedy,Drama,Romance"
Banger Sisters (The) (2002),Banger Sisters,The Banger Sisters,2002,"Comedy,Drama"
Bad Company (2002),Bad Company,Bad Company,2002,"Action,Comedy,Thriller"
Dog Soldiers (2002),Dog Soldiers,Dog Soldiers,2002,"Action,Horror,Thriller"
Good Thief (The) (I) (2002),Good Thief,The Good Thief,2002,"Action,Crime,Drama"
I'm Going Home (2001),I'm Going Home,I'm Going Home,2001,"Comedy,Drama"
Spy Kids 2: Island of Lost Dreams (2002),Spy Kids 2: Island of Lost Dreams,Spy Kids 2: Island of Lost Dreams,2002,"Action,Adventure,Comedy"
Red Dragon (2002),Red Dragon,Red Dragon,2002,"Crime,Drama,Thriller"
Analyze That (2002),Analyze That,Analyze That,2002,"Comedy,Crime"
Life of David Gale (The) (2003),Life of David Gale,The Life of David Gale,2003,"Crime,Drama,Thriller"
Irreversible (2002),Irreversible,Irreversible,2002,"Crime,Drama,Mystery"
Austin Powers in Goldmember (2002),Austin Powers in Goldmember,Austin Powers in Goldmember,2002,"Action,Adventure,Comedy"
Heartlands (2002),Heartlands,Heartlands,2002,"Comedy,Drama"
Master of Disguise (The) (2002),Master of Disguise,The Master of Disguise,2002,"Adventure,Comedy,Family"
xXx (2002),xXx,xXx,2002,"Action,Adventure,Thriller"
Brown Sugar (2002),Brown Sugar,Brown Sugar,2002,"Comedy,Drama,Music"
I Spy (2002),I Spy,I Spy,2002,"Action,Adventure,Comedy"
I Capture the Castle (2003),I Capture the Castle,I Capture the Castle,2003,"Drama,Romance"
Man on the Train (L'homme du train) (2002),Man on the Train,Man on the Train,2002,"Crime,Drama,Thriller"
Kid Stays in the Picture (The) (2002),Kid Stays in the Picture,The Kid Stays in the Picture,2002,"Biography,Documentary"
Mona Lisa Smile (2003),Mona Lisa Smile,Mona Lisa Smile,2003,Drama
Anger Management (2003),Anger Management,Anger Management,2003,Comedy
Charlie's Angels: Full Throttle (2003),Charlie's Angels: Full Throttle,Charlie's Angels: Full Throttle,2003,"Action,Adventure,Comedy"
Just Married (2003),Just Married,Just Married,2003,"Comedy,Romance"
Divorce (Le) (2003),Divorce,The Divorce,2003,"Comedy,Drama,Romance"
Lizzie McGuire Movie (The) (2003),Lizzie McGuire Movie,The Lizzie McGuire Movie,2003,"Adventure,Comedy,Family"
Solaris (2002),Solaris,Solaris,2002,"Drama,Mystery,Romance"
Bad Santa (2003),Bad Santa,Bad Santa,2003,"Comedy,Crime,Drama"
Down with Love (2003),Down with Love,Down with Love,2003,"Comedy,Romance"
Food of Love (2002),Food of Love,Food of Love,2002,"Drama,Music,Romance"
It Runs in the Family (2003),It Runs in the Family,It Runs in the Family,2003,"Comedy,Drama,Romance"
Master and Commander: The Far Side of the World (2003),Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,2003,"Action,Adventure,Drama"
Sweet Sixteen (I) (2002),Sweet Sixteen,Sweet Sixteen,2002,"Crime,Drama"
Hope Springs (2003),Hope Springs,Hope Springs,2003,"Comedy,Romance"
Spider-Man 2 (2004),Spider-Man 2,Spider-Man 2,2004,"Action,Adventure,Sci-Fi"
Daddy Day Care (2003),Daddy Day Care,Daddy Day Care,2003,"Comedy,Family"
Alex & Emma (2003),Alex & Emma,Alex & Emma,2003,"Comedy,Romance"
Big Fish (2003),Big Fish,Big Fish,2003,"Adventure,Drama,Fantasy"
Jackass: The Movie (2002),Jackass: The Movie,Jackass: The Movie,2002,"Action,Comedy,Documentary"
Lara Croft Tomb Raider: The Cradle of Life (2003),Lara Croft Tomb Raider: The Cradle of Life,Lara Croft Tomb Raider: The Cradle of Life,2003,"Action,Adventure,Fantasy"
Matchstick Men (2003),Matchstick Men,Matchstick Men,2003,"Comedy,Crime,Drama"
Under the Tuscan Sun (2003),Under the Tuscan Sun,Under the Tuscan Sun,2003,"Comedy,Drama,Romance"
Punisher (The) (2004),Punisher,The Punisher,2004,"Action,Crime,Drama"
School of Rock (2003),School of Rock,School of Rock,2003,"Comedy,Music"
Ladykillers (The) (2004),Ladykillers,The Ladykillers,2004,"Comedy,Crime,Thriller"
On the Road (2012),On the Road,On the Road,2012,"Adventure,Drama,Romance"
Blackball (2003),Blackball,Blackball,2003,"Comedy,Drama,Sport"
Paycheck (2003),Paycheck,Paycheck,2003,"Action,Mystery,Sci-Fi"
Aviator (The) (2004),Aviator,The Aviator,2004,"Biography,Drama"
Along Came Polly (2004),Along Came Polly,Along Came Polly,2004,"Comedy,Romance"
Asylum (2005),Asylum,Asylum,2005,"Drama,Romance,Thriller"
Cheaper by the Dozen (2003),Cheaper by the Dozen,Cheaper by the Dozen,2003,"Comedy,Family"
Miracle (2004),Miracle,Miracle,2004,"Biography,Drama,History"
Five Obstructions (The) (2003),Five Obstructions,The Five Obstructions,2003,Documentary
Chasing Liberty (2004),Chasing Liberty,Chasing Liberty,2004,"Comedy,Romance"
You Got Served (2004),You Got Served,You Got Served,2004,"Drama,Music"
Sea Inside (The) (I) (Mar adentro) (2004),Sea Inside,The Sea Inside,2004,"Biography,Drama"
Kill Bill: Vol. 2 (2004),Kill Bill: Vol. 2,Kill Bill: Vol. 2,2004,"Action,Crime,Thriller"
Departed (The) (2006),Departed,The Departed,2006,"Action,Crime,Drama"
Marie Antoinette (2006),Marie Antoinette,Marie Antoinette,2006,"Biography,Drama,History"
Lincoln (2012),Lincoln,Lincoln,2012,"Biography,Drama,History"
Equalizer (The) (2014),Equalizer,The Equalizer,2014,"Action,Crime,Thriller"
High-Rise (2015),High-Rise,High-Rise,2015,"Drama,Sci-Fi"
State of Play (2009),State of Play,State of Play,2009,"Crime,Drama,Mystery"
"Hail, Caesar! (2016)","Hail, Caesar!","Hail, Caesar!",2016,"Comedy,Drama,Music"
Prestige (The) (2006),Prestige,The Prestige,2006,"Drama,Mystery,Sci-Fi"
In Bruges (2008),In Bruges,In Bruges,2008,"Comedy,Crime,Drama"
Book Thief (The) (2013),Book Thief,The Book Thief,2013,"Drama,War"
Pet Sematary (2019),Pet Sematary,Pet Sematary,2019,"Horror,Mystery,Thriller"
Wedding Ringer (The) (2015),Wedding Ringer,The Wedding Ringer,2015,Comedy
Tetro (2009),Tetro,Tetro,2009,Drama
Hugo (2011),Hugo,Hugo,2011,"Adventure,Drama,Family"
Hitchcock (2012),Hitchcock,Hitchcock,2012,"Biography,Drama,Romance"
Into the Arms of Strangers (2007),Into the Arms of Strangers,Into the Arms of Strangers,2007,"Drama,Mystery,Thriller"
Child 44 (2015),Child 44,Child 44,2015,"Crime,Drama,History"
Father (The) (2020),Father,The Father,2020,Drama
Sunday (2008),Sunday,Sunday,2008,"Action,Comedy,Mystery"
Heist of the Century (The) (El robo del siglo) (2020),Heist of the Century,The Heist of the Century,2020,"Action,Biography,Comedy"
Twilight (2008),Twilight,Twilight,2008,"Drama,Fantasy,Romance"
Hangover (The) (2009),Hangover,The Hangover,2009,Comedy
Departure (2015),Departure,Departure,2015,Documentary
